# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 5 --density 0.900 --temperature 0.851 --cutoff 3.0 --skin 0.3 --dt 0.005 --equilibrate 10000 --production 20000 --thermostat none --seed 5008 --rdf-out /Users/vishnu/molecular/results/exp05b_rdf_rho0.900_seed5008.csv --msd-out /Users/vishnu/molecular/results/exp05b_msd_rho0.900_seed5008.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# frames: 20000
r,g
0.01007036597,0
0.03021109791,0
0.05035182985,0
0.07049256179,0
0.09063329373,0
0.1107740257,0
0.1309147576,0
0.1510554896,0
0.1711962215,0
0.1913369534,0
0.2114776854,0
0.2316184173,0
0.2517591493,0
0.2718998812,0
0.2920406131,0
0.3121813451,0
0.332322077,0
0.352462809,0
0.3726035409,0
0.3927442728,0
0.4128850048,0
0.4330257367,0
0.4531664687,0
0.4733072006,0
0.4934479325,0
0.5135886645,0
0.5337293964,0
0.5538701284,0
0.5740108603,0
0.5941515922,0
0.6142923242,0
0.6344330561,0
0.6545737881,0
0.67471452,0
0.6948552519,0
0.7149959839,0
0.7351367158,0
0.7552774478,0
0.7754181797,0
0.7955589116,0
0.8156996436,0
0.8358403755,0
0.8559811075,0
0.8761218394,2.173240729e-05
0.8962625713,0.0006732777907
0.9164033033,0.0090297249
0.9365440352,0.05928056046
0.9566847672,0.225439189
0.9768254991,0.5829488894
0.996966231,1.127048649
1.017106963,1.753344138
1.037247695,2.337421953
1.057388427,2.76455573
1.077529159,3.015112345
1.097669891,3.084854302
1.117810623,3.011742069
1.137951355,2.838669696
1.158092087,2.611862253
1.178232819,2.360460223
1.19837355,2.0987222
1.218514282,1.847781202
1.238655014,1.613782615
1.258795746,1.397236639
1.278936478,1.204718148
1.29907721,1.039082115
1.319217942,0.8940444511
1.339358674,0.7718563819
1.359499406,0.6755668866
1.379640138,0.5994113074
1.39978087,0.5406109278
1.419921602,0.4986041795
1.440062334,0.472994676
1.460203066,0.4592914113
1.480343798,0.4525521698
1.50048453,0.4599015149
1.520625261,0.4726268659
1.540765993,0.4910614693
1.560906725,0.5124229847
1.581047457,0.5335558677
1.601188189,0.551321065
1.621328921,0.5684224396
1.641469653,0.581510086
1.661610385,0.5922112357
1.681751117,0.6079521059
1.701891849,0.6220012714
1.722032581,0.6412098073
1.742173313,0.6690510944
1.762314045,0.7089743448
1.782454777,0.7602985071
1.802595509,0.8308992805
1.822736241,0.9104091706
1.842876973,1.002506474
1.863017704,1.100955918
1.883158436,1.199703334
1.903299168,1.291443954
1.9234399,1.372768493
1.943580632,1.437978352
1.963721364,1.482669058
1.983862096,1.503920272
2.004002828,1.507712001
2.02414356,1.491479309
2.044284292,1.456616355
2.064425024,1.409142648
2.084565756,1.352753005
2.104706488,1.295397054
2.12484722,1.236903779
2.144987952,1.179485327
2.165128684,1.125555092
2.185269416,1.076022607
2.205410147,1.032682891
2.225550879,0.9936129647
2.245691611,0.9593127279
2.265832343,0.9280052038
2.285973075,0.9024184502
2.306113807,0.8806761362
2.326254539,0.8647972022
2.346395271,0.8551516125
2.366536003,0.8496449261
2.386676735,0.8483293808
2.406817467,0.8550860382
2.426958199,0.8633194448
2.447098931,0.875301195
2.467239663,0.8910789634
2.487380395,0.9077781318
2.507521127,0.9230170716
2.527661859,0.9356716123
2.54780259,0.9449988301
2.567943322,0.9518156181
2.588084054,0.949619897
2.608224786,0.9429599239
2.628365518,0.9324532345
2.64850625,0.9163447464
2.668646982,0.897762241
2.688787714,0.8775366326
2.708928446,0.8589673151
2.729069178,0.8427693103
2.74920991,0.8303805972
2.769350642,0.8256319513
2.789491374,0.8286899987
2.809632106,0.8405955965
2.829772838,0.8625534289
2.84991357,0.8941535704
2.870054302,0.9343178146
2.890195033,0.9827375125
2.910335765,1.034927812
2.930476497,1.089120787
2.950617229,1.14357928
2.970757961,1.19367422
2.990898693,1.237583643
3.011039425,1.270323621
3.031180157,1.290881082
3.051320889,1.300015407
3.071461621,1.294435835
3.091602353,1.277481087
3.111743085,1.249871537
3.131883817,1.20951167
3.152024549,1.165530483
3.172165281,1.118978343
3.192306013,1.069258864
3.212446744,1.021510562
3.232587476,0.9785823828
3.252728208,0.9424431006
3.27286894,0.9114906781
3.293009672,0.8911917334
3.313150404,0.8785255283
3.333291136,0.8742389234
3.353431868,0.8769954908
3.3735726,0.8845403205
3.393713332,0.8958357447
3.413854064,0.9106637389
3.433994796,0.9261257147
3.454135528,0.9426611094
3.47427626,0.9561702568
3.494416992,0.9677133376
3.514557724,0.9744876482
3.534698456,0.9798838082
3.554839187,0.9816807143
3.574979919,0.9800777341
3.595120651,0.9752990161
3.615261383,0.9685058005
3.635402115,0.9606894565
3.655542847,0.9516620799
3.675683579,0.9421633271
3.695824311,0.9331603064
3.715965043,0.9240673623
3.736105775,0.9165925344
3.756246507,0.9110073846
3.776387239,0.9080694438
3.796527971,0.9066862471
3.816668703,0.9079855025
3.836809435,0.9117315014
3.856950167,0.9203223011
3.877090899,0.9315992942
3.89723163,0.946860855
3.917372362,0.9650202338
3.937513094,0.9892439355
3.957653826,1.014839292
3.977794558,1.0424239
3.99793529,1.0722431
4.018076022,1.101850508
