# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.001 --equilibrate 0 --production 1000 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.001.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
67,0.067,production,-531.6831711,109.686237,-421.9969341,0.6834033457,-2.701406992
68,0.068,production,-530.1104169,108.1136182,-421.9967987,0.6736050978,-2.632720446
69,0.069,production,-528.5214956,106.5248454,-421.9966502,0.6637062018,-2.563627749
70,0.07,production,-526.9191804,104.9226908,-421.9964897,0.6537239299,-2.494229107
71,0.071,production,-525.3064212,103.3101037,-421.9963175,0.6436766587,-2.424625456
72,0.072,production,-523.6863344,101.6901999,-421.9961346,0.6335837998,-2.354925823
73,0.073,production,-522.0621888,100.066247,-421.9959418,0.6234657133,-2.285244222
74,0.074,production,-520.4373891,98.44164837,-421.9957407,0.6133436036,-2.215698543
75,0.075,production,-518.8154556,96.81992329,-421.9955323,0.6032393974,-2.146408813
76,0.076,production,-517.2000035,95.20468504,-421.9953185,0.5931756077,-2.077497373
77,0.077,production,-515.5947175,93.59961685,-421.9951007,0.5831751829,-2.009088831
78,0.078,production,-514.0033268,92.00844607,-421.9948807,0.5732613462,-1.941308476
79,0.079,production,-512.4295777,90.43491718,-421.9946605,0.5634574279,-1.87428135
80,0.08,production,-510.8772044,88.88276252,-421.9944419,0.5537866824,-1.808131614
81,0.081,production,-509.3498998,87.35567297,-421.9942269,0.5442721057,-1.742982437
82,0.082,production,-507.8512856,85.8572682,-421.9940174,0.5349362505,-1.678954153
83,0.083,production,-506.3848824,84.39106711,-421.9938153,0.5258010412,-1.616163862
84,0.084,production,-504.9540819,82.96045973,-421.9936222,0.5168875996,-1.554725568
85,0.085,production,-503.5621203,81.56868039,-421.9934399,0.5082160772,-1.494748875
86,0.086,production,-502.2120516,80.21878141,-421.9932701,0.4998054916,-1.436332935
87,0.087,production,-500.9067234,78.91360939,-421.993114,0.4916735788,-1.37957451
88,0.088,production,-499.6487579,77.65578511,-421.9929728,0.4838366674,-1.324561078
89,0.089,production,-498.4405332,76.44768587,-421.9928474,0.4763095693,-1.271374569
90,0.09,production,-497.2841692,75.2914307,-421.9927385,0.4691054873,-1.22008637
91,0.091,production,-496.1815158,74.18886916,-421.9926466,0.462235945,-1.170762682
92,0.092,production,-495.1341466,73.14157457,-421.9925721,0.455710745,-1.123460487
93,0.093,production,-494.1433544,72.15083977,-421.9925147,0.4495379425,-1.078225517
94,0.094,production,-493.2101511,71.21767661,-421.9924745,0.4437238418,-1.035096452
95,0.095,production,-492.3352697,70.34281882,-421.9924509,0.4382730144,-0.9941012263
96,0.096,production,-491.519171,69.52672756,-421.9924435,0.4331883337,-0.9552607556
97,0.097,production,-490.7620519,68.76960047,-421.9924514,0.4284710309,-0.9185864536
98,0.098,production,-490.0638565,68.07138278,-421.9924737,0.424120765,-0.8840834162
99,0.099,production,-489.4242906,67.431781,-421.9925096,0.4201357071,-0.8517503906
100,0.1,production,-488.8428354,66.85027764,-421.9925578,0.4165126333,-0.8215757147
101,0.101,production,-488.3187647,66.32614739,-421.9926173,0.4132470243,-0.7935421328
102,0.102,production,-487.8511615,65.85847447,-421.992687,0.4103331743,-0.7676258944
103,0.103,production,-487.4389363,65.44617074,-421.9927656,0.4077643037,-0.7437979164
104,0.104,production,-487.0808458,65.08799398,-421.9928518,0.4055326728,-0.7220233908
105,0.105,production,-486.7755107,64.78256596,-421.9929447,0.4036296945,-0.7022629024
106,0.106,production,-486.5214336,64.52839044,-421.9930431,0.4020460464,-0.6844731153
107,0.107,production,-486.3170163,64.32387033,-421.9931459,0.4007717778,-0.6686070897
108,0.108,production,-486.1605766,64.1673244,-421.9932522,0.3997964137,-0.6546130193
109,0.109,production,-486.0503637,64.05700275,-421.993361,0.3991090514,-0.6424377951
110,0.11,production,-485.9845727,63.99110119,-421.9934716,0.3986984498,-0.6320276407
111,0.111,production,-485.9613583,63.96777533,-421.9935829,0.3985531173,-0.6233229574
112,0.112,production,-485.9788483,63.98515378,-421.9936945,0.3986613943,-0.6162655838
113,0.113,production,-486.0351549,64.04134927,-421.9938056,0.3990115219,-0.6107954787
114,0.114,production,-486.1283846,64.13446874,-421.9939158,0.3995917056,-0.6068511594
115,0.115,production,-486.256647,64.2626224,-421.9940246,0.4003901707,-0.6043712083
116,0.116,production,-486.4180633,64.42393175,-421.9941315,0.4013952134,-0.6032934682
117,0.117,production,-486.6107734,64.61653714,-421.9942362,0.402595247,-0.6035564137
118,0.118,production,-486.8329427,64.83860426,-421.9943384,0.4039788428,-0.605099959
119,0.119,production,-487.0827675,65.08832957,-421.9944379,0.4055347637,-0.6078634312
120,0.12,production,-487.3584789,65.36394441,-421.9945344,0.4072519901,-0.6117855992
121,0.121,production,-487.658347,65.6637192,-421.9946278,0.4091197458,-0.616806645
122,0.122,production,-487.9806851,65.98596713,-421.994718,0.4111275211,-0.6228668426
123,0.123,production,-488.3238515,66.32904663,-421.9948048,0.413265088,-0.6299084241
124,0.124,production,-488.6862519,66.69136374,-421.9948882,0.4155225155,-0.637876395
125,0.125,production,-489.0663423,67.07137407,-421.9949682,0.4178901811,-0.6467153581
126,0.126,production,-489.4626284,67.46758372,-421.9950447,0.420358777,-0.6563696011
127,0.127,production,-489.8736678,67.87855,-421.9951178,0.4229193147,-0.6667874826
128,0.128,production,-490.2980698,68.30288243,-421.9951874,0.4255631304,-0.6779169197
129,0.129,production,-490.7344966,68.73924316,-421.9952534,0.4282818888,-0.6897092829
130,0.13,production,-491.1816636,69.18634731,-421.9953163,0.4310675845,-0.7021190568
131,0.131,production,-491.6383377,69.6429618,-421.9953759,0.4339125346,-0.7150947577
132,0.132,production,-492.1033368,70.10790449,-421.9954323,0.4368093738,-0.7285902729
133,0.133,production,-492.5755295,70.58004389,-421.9954856,0.4397510523,-0.7425609425
134,0.134,production,-493.0538341,71.05829822,-421.9955359,0.44273083,-0.7569631973
135,0.135,production,-493.5372176,71.54163436,-421.9955832,0.4457422702,-0.7717553446
136,0.136,production,-494.0246944,72.02906655,-421.9956278,0.4487792308,-0.7868974699
137,0.137,production,-494.5153245,72.51965474,-421.9956698,0.4518358551,-0.8023510536
138,0.138,production,-495.0082124,73.01250311,-421.9957093,0.4549065614,-0.818078717
139,0.139,production,-495.5025047,73.50675846,-421.9957462,0.457986034,-0.8340453961
140,0.14,production,-495.9973898,74.00160882,-421.9957809,0.4610692138,-0.8502142023
