# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8442 --temperature 0.7280 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 2000 --thermostat none --seed 4108 --msd-out /Users/vishnu/molecular/results/exp04_msd_verlet_seed4108.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [250,751)): 0.03057233132
# D_vacf (Green-Kubo): 0.0301649241
lag,time,msd,vacf
0,0,0,1
1,0.005,5.434542467e-05,0.9965827269
2,0.01,0.0002170082192,0.9864197382
3,0.015,0.0004868785998,0.9697195349
4,0.02,0.0008621342509,0.9468179958
5,0.025,0.001340277103,0.9181623235
6,0.03,0.001918182347,0.8842910956
7,0.035,0.002592157483,0.8458122725
8,0.04,0.00335800894,0.8033808848
9,0.045,0.00421111379,0.7576777794
10,0.05,0.00514649417,0.7093903979
11,0.055,0.006158892303,0.6591961549
12,0.06,0.007242844295,0.6077486525
13,0.065,0.008392751236,0.5556667204
14,0.07,0.009602946437,0.5035261022
15,0.075,0.01086775793,0.4518535186
16,0.08,0.01218156558,0.4011227967
17,0.085,0.0135388525,0.3517527567
18,0.09,0.01493425041,0.3041065567
19,0.095,0.01636257911,0.2584922294
20,0.1,0.01781887995,0.2151641718
21,0.105,0.01929844364,0.174325382
22,0.11,0.0207968325,0.1361302649
23,0.115,0.02230989753,0.1006878504
24,0.12,0.02383379049,0.06806529231
25,0.125,0.02536497143,0.03829153485
26,0.13,0.02690021175,0.01136105896
27,0.135,0.02843659331,-0.01276235946
28,0.14,0.02997150407,-0.03414194
29,0.145,0.0315026305,-0.05286427765
30,0.15,0.03302794766,-0.06903585015
31,0.155,0.03454570719,-0.08277968722
32,0.16,0.03605442389,-0.09423222478
33,0.165,0.03755286089,-0.1035403642
34,0.17,0.03904001394,-0.1108587496
35,0.175,0.04051509478,-0.1163472603
36,0.18,0.04197751383,-0.120168711
37,0.185,0.04342686264,-0.1224867545
38,0.19,0.04486289607,-0.1234639759
39,0.195,0.04628551469,-0.1232601715
40,0.2,0.04769474751,-0.1220308135
41,0.205,0.04909073509,-0.1199256954
42,0.21,0.05047371337,-0.117087761
43,0.215,0.05184399812,-0.1136521177
44,0.22,0.05320197009,-0.1097452319
45,0.225,0.05454806101,-0.105484298
46,0.23,0.05588274048,-0.1009767745
47,0.235,0.05720650382,-0.09632007669
48,0.24,0.05851986121,-0.09160141942
49,0.245,0.05982332813,-0.08689779631
50,0.25,0.0611174172,-0.0822760886
51,0.255,0.06240263126,-0.07779328519
52,0.26,0.06367945771,-0.07349680189
53,0.265,0.06494836369,-0.06942489227
54,0.27,0.06620979206,-0.06560713565
55,0.275,0.06746415804,-0.06206499265
56,0.28,0.06871184656,-0.05881241806
57,0.285,0.06995321036,-0.05585652051
58,0.29,0.07118856888,-0.05319825584
59,0.295,0.0724182079,-0.05083313464
60,0.3,0.07364237988,-0.04875193516
61,0.305,0.07486130494,-0.04694141539
62,0.31,0.0760751725,-0.04538501261
63,0.315,0.07728414329,-0.04406352137
64,0.32,0.0784883519,-0.04295574255
65,0.325,0.07968790957,-0.0420391009
66,0.33,0.08088290709,-0.04129022219
67,0.335,0.0820734178,-0.04068546386
68,0.34,0.08325950044,-0.04020139509
69,0.345,0.08444120188,-0.03981521671
70,0.35,0.08561855969,-0.03950512022
71,0.355,0.08679160457,-0.03925059351
72,0.36,0.0879603625,-0.03903267691
73,0.365,0.08912485659,-0.03883416891
74,0.37,0.09028510856,-0.03863977591
75,0.375,0.09144113996,-0.03843620414
76,0.38,0.0925929732,-0.03821219797
77,0.385,0.09374063249,-0.03795852949
78,0.39,0.09488414482,-0.03766794715
79,0.395,0.09602354082,-0.03733509176
80,0.4,0.09715885563,-0.03695638534
81,0.405,0.09829012949,-0.03652990073
82,0.41,0.09941740819,-0.03605521523
83,0.415,0.1005407432,-0.03553324633
84,0.42,0.1016601917,-0.03496607323
85,0.425,0.1027758162,-0.03435675043
86,0.43,0.1038876844,-0.03370911416
87,0.435,0.1049958682,-0.03302759089
88,0.44,0.1061004442,-0.03231701664
89,0.445,0.1072014919,-0.03158247128
90,0.45,0.1082990943,-0.03082913122
91,0.455,0.1093933365,-0.03006214458
92,0.46,0.1104843053,-0.02928652886
93,0.465,0.1115720887,-0.02850709392
94,0.47,0.112656775,-0.0277283894
95,0.475,0.1137384521,-0.02695466279
96,0.48,0.1148172076,-0.02618982788
97,0.485,0.1158931276,-0.02543744075
98,0.49,0.1169662967,-0.02470068003
99,0.495,0.1180367973,-0.02398233437
100,0.5,0.1191047091,-0.02328479392
101,0.505,0.1201701087,-0.02261003957
102,0.51,0.1212330696,-0.0219596241
103,0.515,0.1222936613,-0.02133464502
104,0.52,0.1233519501,-0.0207357229
105,0.525,0.1244079981,-0.02016299614
106,0.53,0.1254618638,-0.01961613959
107,0.535,0.1265136021,-0.01909441085
108,0.54,0.1275632637,-0.01859671517
109,0.545,0.1286108959,-0.01812168491
110,0.55,0.1296565418,-0.01766776971
111,0.555,0.1307002413,-0.01723332437
112,0.56,0.1317420305,-0.01681669458
113,0.565,0.1327819428,-0.01641629448
114,0.57,0.133820009,-0.01603066655
115,0.575,0.1348562581,-0.01565852412
116,0.58,0.1358907181,-0.01529877532
117,0.585,0.1369234165,-0.01495053062
118,0.59,0.137954381,-0.01461309573
119,0.595,0.1389836398,-0.01428595686
120,0.6,0.1400112222,-0.01396876773
121,0.605,0.141037158,-0.01366134397
122,0.61,0.1420614783,-0.01336366236
123,0.615,0.1430842147,-0.01307585829
124,0.62,0.1441053997,-0.0127982119
125,0.625,0.1451250657,-0.0125311227
126,0.63,0.146143245,-0.01227508012
127,0.635,0.147159969,-0.0120306319
128,0.64,0.1481752675,-0.0117983518
129,0.645,0.1491891681,-0.01157880191
130,0.65,0.1502016958,-0.01137248408
131,0.655,0.1512128723,-0.01117978624
132,0.66,0.152222716,-0.0110009308
133,0.665,0.1532312423,-0.01083592903
134,0.67,0.1542384635,-0.01068454318
135,0.675,0.1552443894,-0.01054625526
136,0.68,0.1562490278,-0.01042024054
137,0.685,0.1572523847,-0.01030534528
138,0.69,0.1582544654,-0.01020007791
139,0.695,0.1592552743,-0.01010261927
140,0.7,0.1602548155,-0.01001085251
141,0.705,0.161253093,-0.009922412824
142,0.71,0.162250111,-0.009834749012
143,0.715,0.1632458742,-0.009745194511
144,0.72,0.1642403878,-0.009651048024
145,0.725,0.1652336582,-0.009549664224
146,0.73,0.1662256931,-0.009438546614
147,0.735,0.1672165022,-0.009315438804
148,0.74,0.1682060974,-0.009178411722
149,0.745,0.1691944932,-0.009025935527
150,0.75,0.1701817072,-0.008856927533
151,0.755,0.1711677599,-0.008670779096
152,0.76,0.1721526749,-0.008467365922
153,0.765,0.1731364789,-0.008247044671
154,0.77,0.1741192012,-0.008010634448
155,0.775,0.1751008734,-0.007759377898
156,0.78,0.1760815294,-0.007494885327
157,0.785,0.1770612046,-0.007219065893
158,0.79,0.1780399355,-0.006934049927
159,0.795,0.1790177599,-0.00664210753
160,0.8,0.1799947159,-0.006345574398
161,0.805,0.1809708421,-0.006046786833
162,0.81,0.1819461771,-0.005748035144
163,0.815,0.1829207597,-0.005451537801
164,0.82,0.1838946283,-0.005159427846
165,0.825,0.1848678211,-0.004873750567
166,0.83,0.1858403757,-0.004596461181
167,0.835,0.1868123288,-0.004329410962
168,0.84,0.1877837156,-0.004074321487
169,0.845,0.1887545701,-0.003832753264
170,0.85,0.1897249244,-0.003606075094
171,0.855,0.1906948084,-0.003395438985
172,0.86,0.19166425,-0.003201760489
173,0.865,0.1926332744,-0.003025707483
174,0.87,0.193601904,-0.002867695945
175,0.875,0.1945701583,-0.002727887033
176,0.88,0.1955380535,-0.002606187468
177,0.885,0.1965056029,-0.002502253901
