# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.004 --equilibrate 0 --production 250 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.004.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
67,0.268,production,-509.2368547,87.22755161,-422.0093031,0.5434738418,-1.390824493
68,0.272,production,-508.7520533,86.74483039,-422.0072229,0.5404662329,-1.375805499
69,0.276,production,-508.1652175,86.16060591,-422.0046116,0.5368262051,-1.357208852
70,0.28,production,-507.5171852,85.51552848,-422.0016568,0.532807031,-1.336212058
71,0.284,production,-506.8540652,84.85528629,-421.9987789,0.5286933725,-1.314138559
72,0.288,production,-506.220547,84.22396985,-421.9965772,0.5247599367,-1.292272491
73,0.292,production,-505.6508468,83.65522178,-421.995625,0.5212163351,-1.271596087
74,0.296,production,-505.1602667,83.16405865,-421.9962081,0.5181561286,-1.252547721
75,0.3,production,-504.7410271,82.74285461,-421.9981725,0.5155318044,-1.23491606
76,0.304,production,-504.3645811,82.36361806,-422.000963,0.5131689598,-1.21788994
77,0.308,production,-503.9896891,81.98580422,-422.0038849,0.5108149796,-1.200327386
78,0.312,production,-503.5728124,81.56647671,-422.0063357,0.5082023471,-1.181003662
79,0.316,production,-503.0772772,81.06932445,-422.0079527,0.5051048252,-1.158904785
80,0.32,production,-502.4791353,80.47054322,-422.0085921,0.501374101,-1.133373484
81,0.324,production,-501.7697125,79.76146113,-422.0082514,0.4969561441,-1.104213062
82,0.328,production,-500.9559093,78.94891601,-422.0069933,0.4918935577,-1.071703762
83,0.332,production,-500.0593578,78.05445355,-422.0049043,0.4863205829,-1.03654443
84,0.336,production,-499.1148271,77.11267309,-422.002154,0.4804527918,-0.9998392176
85,0.34,production,-498.1672898,76.16823797,-421.9990518,0.4745684609,-0.9630072757
86,0.344,production,-497.2668825,75.27082111,-421.9960614,0.4689770785,-0.9275905244
87,0.348,production,-496.4616235,74.46787883,-421.9937447,0.4639743229,-0.8950552439
88,0.352,production,-495.788932,73.79634174,-421.9925903,0.4597902912,-0.8665765182
89,0.356,production,-495.2682863,73.27543067,-421.9928557,0.4565447394,-0.8428167824
90,0.36,production,-494.8974328,72.90297937,-421.9944534,0.4542241705,-0.8238005348
91,0.364,production,-494.6535851,72.65658179,-421.9970033,0.4526889831,-0.808945523
92,0.368,production,-494.4990509,72.49909802,-421.9999529,0.4517077758,-0.7972685348
93,0.372,production,-494.389512,72.38679121,-422.0027208,0.451008045,-0.7875554109
94,0.376,production,-494.282773,72.27794167,-422.0048313,0.4503298546,-0.778653758
95,0.38,production,-494.1460804,72.14011576,-422.0059646,0.4494711263,-0.7696929423
96,0.384,production,-493.9610858,71.95509854,-422.0059873,0.448318371,-0.7601978423
97,0.388,production,-493.7260598,71.72113311,-422.0049267,0.4468606424,-0.7501735531
98,0.392,production,-493.4555324,71.4525688,-422.0029636,0.4451873445,-0.740118162
99,0.396,production,-493.1776533,71.17727295,-422.0003804,0.4434721056,-0.7308997232
100,0.4,production,-492.9298257,70.93228213,-421.9975436,0.4419456831,-0.7236358654
101,0.404,production,-492.7530949,70.75824377,-421.9948512,0.4408613319,-0.7195603599
102,0.408,production,-492.6860795,70.69340343,-421.9926761,0.4404573422,-0.7197913478
103,0.412,production,-492.7592862,70.76798291,-421.9913033,0.4409220119,-0.7252014153
104,0.416,production,-492.9907441,70.99986534,-421.9908788,0.4423667622,-0.7362694579
105,0.42,production,-493.3837163,71.39232506,-421.9913913,0.4448119941,-0.7530245174
106,0.424,production,-493.9268354,71.93415962,-421.9926757,0.4481879104,-0.7750031991
107,0.428,production,-494.5965243,72.60206184,-421.9944624,0.4523492949,-0.8013689029
108,0.432,production,-495.3609728,73.36451829,-421.9964545,0.4570998024,-0.8310158184
109,0.436,production,-496.184607,74.18620981,-421.9983972,0.4622193758,-0.8627091341
110,0.44,production,-497.0320208,75.03190082,-422.00012,0.4674884786,-0.8952250398
111,0.444,production,-497.8707047,75.86914598,-422.0015587,0.4727049594,-0.9273827272
112,0.448,production,-498.6723033,76.66958111,-422.0027222,0.4776920942,-0.9581350894
113,0.452,production,-499.4127467,77.40908742,-422.0036593,0.4822996101,-0.9865842386
114,0.456,production,-500.0718388,78.06742959,-422.0044092,0.4864014305,-1.011958042
115,0.46,production,-500.6329039,78.62792867,-422.0049752,0.4898936365,-1.033606871
116,0.464,production,-501.0828926,79.07756738,-422.0053252,0.4926951239,-1.051036358
117,0.468,production,-501.4130089,79.40761099,-422.0053979,0.4947514703,-1.06394616
118,0.472,production,-501.6196562,79.61451753,-422.0051386,0.4960406077,-1.072230696
119,0.476,production,-501.7053073,79.70079466,-422.0045126,0.4965781599,-1.075952126
120,0.48,production,-501.6789928,79.67545867,-422.0035341,0.4964203032,-1.075410237
121,0.484,production,-501.5561154,79.55385023,-422.0022652,0.4956626183,-1.071148256
122,0.488,production,-501.3574742,79.35665325,-422.000821,0.4944339767,-1.063904142
123,0.492,production,-501.1074842,79.10811853,-421.9993657,0.4928854737,-1.054546482
124,0.496,production,-500.8317717,78.83371274,-421.9980589,0.4911757803,-1.043974552
125,0.5,production,-500.5546865,78.55765047,-421.997036,0.4894557662,-1.033072926
126,0.504,production,-500.2972505,78.30089637,-421.9963541,0.4878560521,-1.022665217
127,0.508,production,-500.0761738,78.08020726,-421.9959665,0.4864810421,-1.013435386
128,0.512,production,-499.9043734,77.90865604,-421.9957174,0.4854121871,-1.005941279
129,0.516,production,-499.7929986,77.79760616,-421.9953925,0.4847202876,-1.00066523
130,0.52,production,-499.7541808,77.75936508,-421.9948157,0.4844820254,-0.9981068599
131,0.524,production,-499.8031896,77.80925057,-421.993939,0.4847928384,-0.9988425919
132,0.528,production,-499.958628,77.96570451,-421.9929235,0.4857676293,-1.003468392
133,0.532,production,-500.2397922,78.24771311,-421.9920791,0.4875246923,-1.012557686
134,0.536,production,-500.661793,78.6700042,-421.9917888,0.4901557894,-1.026523185
135,0.54,production,-501.2298117,79.23744184,-421.9923698,0.4936912264,-1.045472998
136,0.544,production,-501.9343957,79.94042756,-421.9939681,0.4980711998,-1.069028751
137,0.548,production,-502.7493012,80.75277144,-421.9965297,0.5031325323,-1.096313006
138,0.552,production,-503.6324751,81.63266835,-421.9998067,0.5086147561,-1.125993363
139,0.556,production,-504.5300334,82.52663268,-422.0034007,0.5141846273,-1.156367349
