# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 5 --density 0.900 --temperature 0.851 --cutoff 3.0 --skin 0.3 --dt 0.005 --equilibrate 10000 --production 20000 --thermostat none --seed 5007 --rdf-out /Users/vishnu/molecular/results/exp05b_rdf_rho0.900_seed5007.csv --msd-out /Users/vishnu/molecular/results/exp05b_msd_rho0.900_seed5007.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# frames: 20000
r,g
0.01007036597,0
0.03021109791,0
0.05035182985,0
0.07049256179,0
0.09063329373,0
0.1107740257,0
0.1309147576,0
0.1510554896,0
0.1711962215,0
0.1913369534,0
0.2114776854,0
0.2316184173,0
0.2517591493,0
0.2718998812,0
0.2920406131,0
0.3121813451,0
0.332322077,0
0.352462809,0
0.3726035409,0
0.3927442728,0
0.4128850048,0
0.4330257367,0
0.4531664687,0
0.4733072006,0
0.4934479325,0
0.5135886645,0
0.5337293964,0
0.5538701284,0
0.5740108603,0
0.5941515922,0
0.6142923242,0
0.6344330561,0
0.6545737881,0
0.67471452,0
0.6948552519,0
0.7149959839,0
0.7351367158,0
0.7552774478,0
0.7754181797,0
0.7955589116,0
0.8156996436,0
0.8358403755,0
0.8559811075,0
0.8761218394,1.715716365e-05
0.8962625713,0.0004371933706
0.9164033033,0.006694144788
0.9365440352,0.04940780763
0.9566847672,0.1986654853
0.9768254991,0.5322686033
0.996966231,1.063228393
1.017106963,1.69630037
1.037247695,2.297926129
1.057388427,2.764061009
1.077529159,3.027076048
1.097669891,3.121271638
1.117810623,3.058631535
1.137951355,2.895616067
1.158092087,2.66906898
1.178232819,2.409636122
1.19837355,2.139017319
1.218514282,1.878357787
1.238655014,1.633937551
1.258795746,1.412242028
1.278936478,1.213525616
1.29907721,1.037026032
1.319217942,0.889018626
1.339358674,0.7640595859
1.359499406,0.6616898199
1.379640138,0.5823965962
1.39978087,0.5225283075
1.419921602,0.4797079121
1.440062334,0.4556698717
1.460203066,0.4423522839
1.480343798,0.4427809972
1.50048453,0.450900974
1.520625261,0.4687899
1.540765993,0.4894807406
1.560906725,0.5127026278
1.581047457,0.5335340907
1.601188189,0.5527097469
1.621328921,0.5682086756
1.641469653,0.5822370799
1.661610385,0.5935821701
1.681751117,0.603627716
1.701891849,0.6147094043
1.722032581,0.6336454575
1.742173313,0.6584710551
1.762314045,0.6941253484
1.782454777,0.7443945191
1.802595509,0.8100571789
1.822736241,0.893294421
1.842876973,0.9888813423
1.863017704,1.09221919
1.883158436,1.197041052
1.903299168,1.298113816
1.9234399,1.387913781
1.943580632,1.460476707
1.963721364,1.509623137
1.983862096,1.535159024
2.004002828,1.535688931
2.02414356,1.511590229
2.044284292,1.476736548
2.064425024,1.423860423
2.084565756,1.362939969
2.104706488,1.298409384
2.12484722,1.235248289
2.144987952,1.175589507
2.165128684,1.119637429
2.185269416,1.065563129
2.205410147,1.020108185
2.225550879,0.9810506866
2.245691611,0.9465724247
2.265832343,0.9169801319
2.285973075,0.8924100867
2.306113807,0.8732654449
2.326254539,0.8605567937
2.346395271,0.8518348152
2.366536003,0.8460911773
2.386676735,0.8458013467
2.406817467,0.8520361447
2.426958199,0.8606239049
2.447098931,0.8752816944
2.467239663,0.8936420584
2.487380395,0.9128759951
2.507521127,0.9284757513
2.527661859,0.9433647371
2.54780259,0.9554314142
2.567943322,0.9621778663
2.588084054,0.9609098681
2.608224786,0.9546918491
2.628365518,0.9421877005
2.64850625,0.9234613796
2.668646982,0.9026126068
2.688787714,0.8790094221
2.708928446,0.8554131724
2.729069178,0.8345811312
2.74920991,0.8183247344
2.769350642,0.8104425658
2.789491374,0.8102161458
2.809632106,0.821082764
2.829772838,0.8422341652
2.84991357,0.875484855
2.870054302,0.9170610583
2.890195033,0.9684565623
2.910335765,1.025982095
2.930476497,1.08560902
2.950617229,1.144865114
2.970757961,1.200663079
2.990898693,1.24822671
3.011039425,1.287687556
3.031180157,1.31223832
3.051320889,1.322398011
3.071461621,1.318017031
3.091602353,1.298453345
3.111743085,1.267434976
3.131883817,1.226023549
3.152024549,1.17700268
3.172165281,1.123154357
3.192306013,1.069894532
3.212446744,1.018807476
3.232587476,0.9711166492
3.252728208,0.9304453
3.27286894,0.8997619742
3.293009672,0.8771694818
3.313150404,0.8644449587
3.333291136,0.8614671164
3.353431868,0.8656163414
3.3735726,0.8755154702
3.393713332,0.8900218071
3.413854064,0.9079836826
3.433994796,0.9278799068
3.454135528,0.9454883134
3.47427626,0.9608706338
3.494416992,0.9739925508
3.514557724,0.9831881598
3.534698456,0.9874408943
3.554839187,0.9883057939
3.574979919,0.9858904734
3.595120651,0.9808178105
3.615261383,0.9729534008
3.635402115,0.9625398681
3.655542847,0.9520005256
3.675683579,0.9412321965
3.695824311,0.9302109925
3.715965043,0.9211606149
3.736105775,0.914089169
3.756246507,0.9085304195
3.776387239,0.903800816
3.796527971,0.9005642956
3.816668703,0.9010637183
3.836809435,0.9051260173
3.856950167,0.9117256404
3.877090899,0.9228878069
3.89723163,0.9376924268
3.917372362,0.9578557989
3.937513094,0.9810469914
3.957653826,1.007897594
3.977794558,1.037097668
3.99793529,1.069003562
4.018076022,1.101489077
