# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.008 --equilibrate 0 --production 125 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.008.csv
# git_sha: f5f126c
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
59,0.472,production,-501.6114252,79.57645471,-422.0349705,0.4958034561,-1.072660873
60,0.48,production,-501.6456686,79.61737042,-422.0282982,0.4960583827,-1.074820325
61,0.488,production,-501.3012072,79.28396174,-422.0172454,0.4939810701,-1.062347942
62,0.496,production,-500.7590993,78.75291015,-422.0061891,0.4906723374,-1.041686748
63,0.504,production,-500.2164137,78.21686286,-421.9995508,0.4873324789,-1.019978089
64,0.512,production,-499.8223824,77.82525999,-421.9971224,0.4848925856,-1.003165732
65,0.52,production,-499.677397,77.68411292,-421.9932841,0.4840131646,-0.9955169262
66,0.528,production,-499.8970263,77.91156809,-421.9854582,0.4854303308,-1.001419773
67,0.536,production,-500.6289406,78.64761953,-421.9813211,0.4900163211,-1.025465345
68,0.544,production,-501.9378239,79.94676071,-421.9910632,0.4981106586,-1.069241266
69,0.552,production,-503.6634072,81.64808261,-422.0153246,0.5087107951,-1.127255218
70,0.56,production,-505.4158265,83.3722024,-422.0436241,0.5194529744,-1.187133372
71,0.568,production,-506.7349715,84.67228691,-422.0626845,0.5275531894,-1.234375007
72,0.576,production,-507.2946956,85.22865904,-422.0660366,0.5310196825,-1.258565705
73,0.584,production,-507.0153074,84.96120751,-422.0540999,0.5293533178,-1.256976486
74,0.592,production,-506.070038,84.04033872,-422.0296993,0.5236158176,-1.234654045
75,0.6,production,-504.8361239,82.83688595,-421.9992379,0.5161176695,-1.203064941
76,0.608,production,-503.7822187,81.8069852,-421.9752335,0.5097008423,-1.176410287
77,0.616,production,-503.2747797,81.30529036,-421.9694893,0.5065750178,-1.165816291
78,0.624,production,-503.4055588,81.4234276,-421.9821312,0.5073110754,-1.174170551
79,0.632,production,-503.985142,81.98199215,-422.0031499,0.5107912283,-1.195943725
80,0.64,production,-504.6848988,82.66254385,-422.0223549,0.5150314259,-1.221166591
81,0.648,production,-505.1950427,83.16174057,-422.0333022,0.5181416858,-1.240285648
82,0.656,production,-505.3319215,83.29934495,-422.0325766,0.518999034,-1.247546394
83,0.664,production,-505.0934167,83.07288519,-422.0205315,0.5175880697,-1.242739897
84,0.672,production,-504.650082,82.6463109,-422.0037711,0.514930286,-1.230869593
85,0.68,production,-504.2427415,82.24863915,-421.9941023,0.5124525804,-1.219145339
86,0.688,production,-504.0127198,82.01343089,-421.9992889,0.5109871083,-1.211951543
87,0.696,production,-503.8946572,81.87995933,-422.0146979,0.5101555098,-1.207740034
88,0.704,production,-503.6809579,81.65294195,-422.028016,0.5087410713,-1.200849522
89,0.712,production,-503.19688,81.16738359,-422.0294964,0.5057157856,-1.186632694
90,0.72,production,-502.4427904,80.42560247,-422.0171879,0.5010940964,-1.165579953
91,0.728,production,-501.6190457,79.62047646,-421.9985692,0.4960777349,-1.144016441
92,0.736,production,-501.0103625,79.02294881,-421.9874137,0.4923548212,-1.130615806
93,0.744,production,-500.7889482,78.79783479,-421.9911134,0.4909522417,-1.130585273
94,0.752,production,-500.9112473,78.90878303,-422.0024643,0.491643508,-1.142580062
95,0.76,production,-501.2141008,79.20536088,-422.0087399,0.493491345,-1.161422888
96,0.768,production,-501.5944519,79.59116088,-422.003291,0.4958950834,-1.183395005
97,0.776,production,-502.1081398,80.11853951,-421.9896003,0.4991809315,-1.209130806
98,0.784,production,-502.9183953,80.93772446,-421.9806708,0.5042848876,-1.242227811
99,0.792,production,-504.1131828,82.12528981,-421.987893,0.5116840486,-1.284156027
100,0.8,production,-505.5538227,83.54736207,-422.0064606,0.520544312,-1.330010371
101,0.808,production,-506.9419049,84.92030494,-422.0216,0.5290984731,-1.370621489
102,0.816,production,-508.0243741,85.99866574,-422.0257084,0.535817232,-1.398445286
103,0.824,production,-508.7117779,86.69094304,-422.0208349,0.5401304862,-1.41108096
104,0.832,production,-509.0590502,87.04701956,-422.0120306,0.5423490316,-1.41057896
105,0.84,production,-509.1917168,87.18802539,-422.0036914,0.5432275725,-1.40135073
106,0.848,production,-509.2360405,87.23735128,-421.9986892,0.543534899,-1.388007431
107,0.856,production,-509.2727999,87.27547001,-421.9973299,0.5437723988,-1.373847926
